电路名	大小	X	0	1	原始1	更改1	原始2	更改2	提升
s5378	23754	17249	2968	3537	1557	1533	1561	1532	
s5378	FDR			47.98	67.51	67.94	68.74	69.83	2.32
s5378	EFDR			53.67	64.50	65.24	66.05	67.33	2.83
s5378	VIHC			51.75	69.63	69.97	70.33	71.24	1.61
s5378	Golomb			37.11	58.76	59.03	63.91	65.67	6.92
s5378	AFDR			49.95	61.62	62.34	63.59	64.78	3.16
s5378	RLHuff			52.58	64.07	64.37	65.63	66.50	2.43
s38584	199104	163817	18473	16814	7646	7229	7694	7343	
s38584	FDR			60.93	75.99	76.33	76.59	78.36	2.37
s38584	EFDR			64.28	73.54	74.04	74.26	76.43	2.89
s38584	VIHC			62.30	78.13	78.84	78.35	79.96	1.83
s38584	Golomb			54.18	65.76	66.29	69.57	73.93	8.18
s38584	AFDR			61.09	69.80	70.19	70.99	73.52	3.72
s38584	RLHuff			62.40	71.12	71.58	72.06	74.32	3.20
电路名	大小	X	0	1	原始1	更改1	原始2	更改2	提升
s5378	23754	17249	2968	3537	1557	1533	1561	1532	
s5378	FDR			47.98	67.51	67.94	68.74	69.83	2.32
s5378	EFDR			53.67	64.50	65.24	66.05	67.33	2.83
s5378	VIHC			51.75	69.63	69.97	70.33	71.24	1.61
s5378	Golomb			37.11	58.76	59.03	63.91	65.67	6.92
s5378	AFDR			49.95	61.62	62.34	63.59	64.78	3.16
s5378	RLHuff			52.58	64.07	64.37	65.63	66.50	2.43
s53782	23754	0	11649	12105	8214	8227	8214	8227	
s53782	FDR			-28.00	-4.04	-4.42	-4.22	-4.56	-0.52
s53782	EFDR			-15.93	-9.16	-8.80	-9.27	-8.91	0.26
s53782	VIHC			0.04	4.93	4.67	5.02	4.75	-0.18
s53782	Golomb			-56.29	-11.70	-11.85	-12.13	-12.28	-0.58
s53782	AFDR			-23.84	-18.01	-17.52	-18.18	-17.66	0.35
s53782	RLHuff			0.04	0.83	0.88	1.33	1.47	0.64
电路名	大小	X	0	1	原始1	更改1	原始2	更改2	提升
s5378	23754	17249	2968	3537	1557	1533	1561	1532	
s5378	FDR			47.98	67.51	67.94	68.74	69.83	2.32
s5378	EFDR			53.67	64.50	65.24	66.05	67.33	2.83
s5378	VIHC			51.75	69.63	69.97	70.33	71.24	1.61
s5378	Golomb			37.11	58.76	59.03	63.91	65.67	6.92
s5378	AFDR			49.95	61.62	62.34	63.59	64.78	3.16
s5378	RLHuff			52.58	64.07	64.37	65.63	66.50	2.43
test1210	56	0	37	19	7	8	7	7	
test1210	FDR			-10.71	42.86	39.29	28.57	28.57	-14.29
test1210	EFDR			-21.43	30.36	28.57	16.07	21.43	-8.93
test1210	VIHC			8.93	73.21	60.71	58.93	50.00	-23.21
test1210	Golomb			-16.07	46.43	33.93	32.14	28.57	-17.86
test1210	AFDR			-10.71	21.43	21.43	7.14	17.86	-3.57
test1210	RLHuff			5.36	55.36	58.93	41.07	44.64	-10.71
电路名	大小	X	0	1	原始1	更改1	原始2	更改2	提升
s5378	23754	17249	2968	3537	1557	1533	1561	1532	
s5378	FDR			47.98	67.51	67.94	68.74	69.83	2.32
s5378	EFDR			53.67	64.50	65.24	66.05	67.33	2.83
s5378	VIHC			51.75	69.63	69.97	70.33	71.24	1.61
s5378	Golomb			37.11	58.76	59.03	63.91	65.67	6.92
s5378	AFDR			49.95	61.62	62.34	63.59	64.78	3.16
s5378	RLHuff			52.58	64.07	64.37	65.63	66.50	2.43
test	72	22	27	23	6	7	2	3	
test	FDR			-8.33	50.00	41.67	73.61	62.50	12.50
test	EFDR			-6.94	47.22	36.11	73.61	59.72	12.50
test	VIHC			15.28	75.00	69.44	84.72	76.39	1.39
test	Golomb			-6.94	51.39	50.00	75.00	65.28	13.89
test	AFDR			-16.67	44.44	33.33	73.61	54.17	9.72
test	RLHuff			5.56	69.44	54.17	79.17	70.83	1.39
test1210	77	27	23	27	4	4	4	3	
test1210	FDR			-9.09	66.23	68.83	54.55	67.53	1.30
test1210	EFDR			1.30	63.64	66.23	58.44	62.34	-1.30
test1210	VIHC			10.39	89.61	89.61	76.62	77.92	-11.69
test1210	Golomb			-11.69	62.34	62.34	61.04	66.23	3.90
test1210	AFDR			-11.69	61.04	63.64	51.95	59.74	-1.30
test1210	RLHuff			5.19	79.22	84.42	64.94	74.03	-5.19
test1210	77	27	23	27	4	4	4	3	
test1210	FDR			-9.09	66.23	68.83	54.55	67.53	1.30
test1210	EFDR			1.30	63.64	66.23	58.44	62.34	-1.30
test1210	VIHC			10.39	89.61	89.61	76.62	77.92	-11.69
test1210	Golomb			-11.69	62.34	62.34	61.04	66.23	3.90
test1210	AFDR			-11.69	61.04	63.64	51.95	59.74	-1.30
test1210	RLHuff			5.19	79.22	84.42	64.94	74.03	-5.19
